Problem_EN,Problem_AR,Keywords_EN,Keywords_AR,Sector_EN,Sector_AR,Priority
Water Scarcity,ندرة المياه,"water;drought;drinking water;desalination;reservoir","مياه;جفاف;تحلية;سد;مياه الشرب",Environment,البيئة,5
Floods,الفيضانات,"flood;flooding;overflow;heavy rain;flash flood","فيضان;فيضانات;سيول;أمطار غزيرة",Environment,البيئة,5
Wildfires,حرائق الغابات,"wildfire;forest fire;bushfire","حرائق الغابات;حريق غابات",Environment,البيئة,5
Earthquake,الزلازل,"earthquake;seismic;richter;aftershock","زلزال;هزة أرضية;ريختر",Disaster,الكوارث,5
Volcano,البراكين,"volcano;eruption;volcanoes;lava;ash cloud","بركان;ثوران;حمم;رماد بركاني",Disaster,الكوارث,5
Climate Change,التغير المناخي,"climate;global warming;emissions;carbon","مناخ;احتباس حراري;انبعاثات;كربون",Environment,البيئة,5
Pollution,التلوث,"pollution;air pollution;water pollution;contamination;toxic","تلوث;تلوث الهواء;تلوث المياه;ملوثات",Environment,البيئة,4
Food Security,الأمن الغذائي,"food;famine;hunger;crop;agriculture","غذاء;مجاعة;جوع;محاصيل;زراعة",Agriculture,الزراعة,5
Pandemic,الأوبئة,"pandemic;virus;epidemic;outbreak;infection","وباء;فيروس;تفشي;عدوى",Health,الصحة,5
Energy Crisis,أزمة الطاقة,"energy;electricity;blackout;gas;fuel;power outage","طاقة;كهرباء;انقطاع الكهرباء;غاز;وقود",Energy,الطاقة,4
Cybersecurity,الأمن السيبراني,"cyber;hacker;malware;ransomware;cyberattack;data breach","هجوم سيبراني;اختراق;فيروس;برمجيات خبيثة;قرصنة",Technology,التكنولوجيا,5
Economic Crisis,الأزمة الاقتصادية,"inflation;economy;recession;debt;financial crisis;gdp","اقتصاد;تضخم;ركود;ديون;أزمة مالية",Economy,الاقتصاد,5
Unemployment,البطالة,"unemployment;jobless;layoffs;employment","بطالة;عاطل;تسريح العمال;التوظيف",Economy,الاقتصاد,4
Housing Crisis,أزمة السكن,"housing;rent;real estate;homeless","سكن;إيجار;عقارات;مشردين",Urban Development,التنمية الحضرية,4
Traffic Congestion,الازدحام المروري,"traffic;congestion;road;transport;jam","ازدحام;مرور;طرق;مواصلات",Transport,النقل,3
Waste Management,إدارة النفايات,"waste;garbage;landfill;recycling;plastic waste","نفايات;قمامة;إعادة التدوير;بلاستيك",Environment,البيئة,4
Deforestation,إزالة الغابات,"deforestation;logging;forest loss","إزالة الغابات;قطع الأشجار;الغابات",Environment,البيئة,5
Biodiversity Loss,فقدان التنوع البيولوجي,"biodiversity;species;wildlife;ecosystem","تنوع بيولوجي;أنواع;حياة برية;نظام بيئي",Environment,البيئة,4
